"arquivo","modelo","solver","status_execucao","status","status_primal","status_dual","raw_status","objetivo","tempo_solver_s","tempo_total_s","variaveis","restricoes_sem_bounds","restricoes_com_bounds","max_iter","tol","timeout_s","deu_timeout","erro_include","erro_solver","madnlp_iterations","madnlp_objective_final_log","madnlp_dual_infeasibility","madnlp_constraint_violation","madnlp_variable_bound_violation","madnlp_complementarity","madnlp_overall_nlp_error","madnlp_total_seconds","madnlp_jacobian_nnz","madnlp_hessian_nnz","log_madnlp"
"jump/henon120_jump.jl","henon120_jump","MadNLP","ERRO_INCLUDE","","","","","NaN","NaN","NaN","","","","3000","1.0e-7","300.0","false","LoadError: Arquivo henon120.mod não encontrado. | Stacktrace: |  [1] error(s::String) |    @ Base ./error.jl:44 |  [2] top-level scope |    @ ~/Documentos/otmization/jump/henon120_jump.jl:180 |  [3] include(mapexpr::Function, mod::Module, _path::String) |    @ Base ./Base.jl:307 |  [4] top-level scope |    @ ~/Documentos/otmization/rodar_um_madnlp.jl:271 |  [5] include(mod::Module, _path::String) |    @ Base ./Base.jl:306 |  [6] exec_options(opts::Base.JLOptions) |    @ Base ./client.jl:317 |  [7] _start() |    @ Base ./client.jl:550 | in expression starting at /home/rezendegdm/Documentos/otmization/jump/henon120_jump.jl:179","","","","","","","","","","","","logs_madnlp_simples/henon120_jump_madnlp.log"
"jump/lane_emden120_jump.jl","lane_emden120_jump","MadNLP","ERRO_INCLUDE","","","","","NaN","NaN","NaN","","","","3000","1.0e-7","300.0","false","LoadError: ParseError: | # Error @ /home/rezendegdm/Documentos/otmization/jump/lane_emden120_jump.jl:26:28 | a = 1 | EBAR = max{b1 in 0..BREAK+1 : energy[b1] < 0.0} energy[b1] | #                          └ ── Expected `}` or `,` | Stacktrace: |  [1] top-level scope |    @ ~/Documentos/otmization/jump/lane_emden120_jump.jl:26 |  [2] include(mapexpr::Function, mod::Module, _path::String) |    @ Base ./Base.jl:307 |  [3] top-level scope |    @ ~/Documentos/otmization/rodar_um_madnlp.jl:271 |  [4] include(mod::Module, _path::String) |    @ Base ./Base.jl:306 |  [5] exec_options(opts::Base.JLOptions) |    @ Base ./client.jl:317 |  [6] _start() |    @ Base ./client.jl:550 | in expression starting at /home/rezendegdm/Documentos/otmization/jump/lane_emden120_jump.jl:26","","","","","","","","","","","","logs_madnlp_simples/lane_emden120_jump_madnlp.log"
"jump/marine_1600_jump.jl","marine_1600_jump","MadNLP","ERRO_INCLUDE","","","","","NaN","NaN","NaN","","","","3000","1.0e-7","300.0","false","LoadError: UndefVarError: `tau` not defined in `Main` | Suggestion: check for spelling errors or missing imports. | Stacktrace: |  [1] top-level scope |    @ ~/Documentos/otmization/jump/marine_1600_jump.jl:39 |  [2] include(mapexpr::Function, mod::Module, _path::String) |    @ Base ./Base.jl:307 |  [3] top-level scope |    @ ~/Documentos/otmization/rodar_um_madnlp.jl:271 |  [4] include(mod::Module, _path::String) |    @ Base ./Base.jl:306 |  [5] exec_options(opts::Base.JLOptions) |    @ Base ./client.jl:317 |  [6] _start() |    @ Base ./client.jl:550 | in expression starting at /home/rezendegdm/Documentos/otmization/jump/marine_1600_jump.jl:39","","","","","","","","","","","","logs_madnlp_simples/marine_1600_jump_madnlp.log"
"jump/nlq180_jump.jl","nlq180_jump","MadNLP","ERRO_INCLUDE","","","","","NaN","NaN","NaN","","","","3000","1.0e-7","300.0","false","SystemError: opening file ""/home/rezendegdm/Documentos/otmization/jump/nlq180_jump.jl"": Arquivo ou diretório inexistente | Stacktrace: |  [1] include(mapexpr::Function, mod::Module, _path::String) |    @ Base ./Base.jl:307 |  [2] top-level scope |    @ ~/Documentos/otmization/rodar_um_madnlp.jl:271 |  [3] include(mod::Module, _path::String) |    @ Base ./Base.jl:306 |  [4] exec_options(opts::Base.JLOptions) |    @ Base ./client.jl:317 |  [5] _start() |    @ Base ./client.jl:550","","","","","","","","","","","","logs_madnlp_simples/nlq180_jump_madnlp.log"
"jump/optmass_jump.jl","optmass_jump","MadNLP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-0.12033869592807017","12.948752164840698","19.125922918319702","60010","50005","50009","3000","1.0e-7","300.0","false","","","38","-1.2033869592807017e-01","1.1102230246251565e-16","4.1599723665797228e-11","","9.0909090911046611e-09","9.0909090911046611e-09","","160016","20006","logs_madnlp_simples/optmass_jump_madnlp.log"
"jump/qcqp500-3c_jump.jl","qcqp500-3c_jump","MadNLP","ERRO_INCLUDE","","","","","NaN","NaN","NaN","","","","3000","1.0e-7","300.0","false","LoadError: ParseError: | # Error @ /home/rezendegdm/Documentos/otmization/jump/qcqp500-3c_jump.jl:26:93 | # Parâmetros indexados | LQ = JuMP.Containers.DenseAxisArray([((i === j) ? (Uniform01()) : (if Uniform01() < sq then Uniform(-10,10))) for i in 1:(n), j in 1:(i)], 1:(n), 1:(i)) | #                                                                                           └ ── Expected `end` | Stacktrace: |  [1] top-level scope |    @ ~/Documentos/otmization/jump/qcqp500-3c_jump.jl:26 |  [2] include(mapexpr::Function, mod::Module, _path::String) |    @ Base ./Base.jl:307 |  [3] top-level scope |    @ ~/Documentos/otmization/rodar_um_madnlp.jl:271 |  [4] include(mod::Module, _path::String) |    @ Base ./Base.jl:306 |  [5] exec_options(opts::Base.JLOptions) |    @ Base ./client.jl:317 |  [6] _start() |    @ Base ./client.jl:550 | in expression starting at /home/rezendegdm/Documentos/otmization/jump/qcqp500-3c_jump.jl:26","","","","","","","","","","","","logs_madnlp_simples/qcqp500-3c_jump_madnlp.log"
"jump/qcqp500-3nc_jump.jl","qcqp500-3nc_jump","MadNLP","ERRO_INCLUDE","","","","","NaN","NaN","NaN","","","","3000","1.0e-7","300.0","false","LoadError: ParseError: | # Error @ /home/rezendegdm/Documentos/otmization/jump/qcqp500-3nc_jump.jl:26:93 | # Parâmetros indexados | LQ = JuMP.Containers.DenseAxisArray([((i === j) ? (Uniform01()) : (if Uniform01() < sq then Uniform(-10,10))) for i in 1:(n), j in 1:(i)], 1:(n), 1:(i)) | #                                                                                           └ ── Expected `end` | Stacktrace: |  [1] top-level scope |    @ ~/Documentos/otmization/jump/qcqp500-3nc_jump.jl:26 |  [2] include(mapexpr::Function, mod::Module, _path::String) |    @ Base ./Base.jl:307 |  [3] top-level scope |    @ ~/Documentos/otmization/rodar_um_madnlp.jl:271 |  [4] include(mod::Module, _path::String) |    @ Base ./Base.jl:306 |  [5] exec_options(opts::Base.JLOptions) |    @ Base ./client.jl:317 |  [6] _start() |    @ Base ./client.jl:550 | in expression starting at /home/rezendegdm/Documentos/otmization/jump/qcqp500-3nc_jump.jl:26","","","","","","","","","","","","logs_madnlp_simples/qcqp500-3nc_jump_madnlp.log"
"jump/robot_1600_jump.jl","robot_1600_jump","MadNLP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","9.140962259697424","10.621999025344849","16.881603002548218","14411","9613","28827","3000","1.0e-7","300.0","false","","","34","9.1409622596974245e+00","1.7872216205490490e-08","1.0741962874760702e-12","","1.0620625678147391e-08","1.7872216205490490e-08","","57614","80000","logs_madnlp_simples/robot_1600_jump_madnlp.log"
"jump/robot_a_jump.jl","robot_a_jump","MadNLP","ERRO_INCLUDE","","","","","NaN","NaN","NaN","","","","3000","1.0e-7","300.0","false","LoadError: UndefVarError: `model` not defined in `Main` | Suggestion: check for spelling errors or missing imports. | Stacktrace: |  [1] include(mapexpr::Function, mod::Module, _path::String) |    @ Base ./Base.jl:307 |  [2] top-level scope |    @ ~/Documentos/otmization/rodar_um_madnlp.jl:271 |  [3] include(mod::Module, _path::String) |    @ Base ./Base.jl:306 |  [4] exec_options(opts::Base.JLOptions) |    @ Base ./client.jl:317 |  [5] _start() |    @ Base ./client.jl:550 | in expression starting at /home/rezendegdm/Documentos/otmization/jump/robot_a_jump.jl:409","","","","","","","","","","","","logs_madnlp_simples/robot_a_jump_madnlp.log"
"jump/robot_b_jump.jl","robot_b_jump","MadNLP","OK","LOCALLY_INFEASIBLE","INFEASIBLE_POINT","INFEASIBLE_POINT","Converged to a point of local infeasibility. Problem may be infeasible.","-7.790180312599858e-5","10.169790029525757","16.49165415763855","400","2100","2100","3000","1.0e-7","300.0","false","","","324","-7.7901803125998578e-05","3.7701085785230809e-03","4.1684866740471840e+00","","1.2784736206333006e-08","4.1684866740471840e+00","","4939","3600","logs_madnlp_simples/robot_b_jump_madnlp.log"
"jump/robot_a_jump.jl","robot_a_jump","MadNLP","ERRO_INCLUDE","","","","","NaN","NaN","NaN","","","","3000","1.0e-7","300.0","false","LoadError: UndefVarError: `model` not defined in `Main` | Suggestion: check for spelling errors or missing imports. | Stacktrace: |  [1] include(mapexpr::Function, mod::Module, _path::String) |    @ Base ./Base.jl:307 |  [2] top-level scope |    @ ~/Documentos/otmization/rodar_um_madnlp.jl:271 |  [3] include(mod::Module, _path::String) |    @ Base ./Base.jl:306 |  [4] exec_options(opts::Base.JLOptions) |    @ Base ./client.jl:317 |  [5] _start() |    @ Base ./client.jl:550 | in expression starting at /home/rezendegdm/Documentos/otmization/jump/robot_a_jump.jl:409","","","","","","","","","","","","logs_madnlp_simples/robot_a_jump_madnlp.log"
"jump/robot_a_jump.jl","robot_a_jump","MadNLP","ERRO_INCLUDE","","","","","NaN","NaN","NaN","","","","3000","1.0e-7","300.0","false","LoadError: UndefVarError: `model` not defined in `Main` | Suggestion: check for spelling errors or missing imports. | Stacktrace: |  [1] include(mapexpr::Function, mod::Module, _path::String) |    @ Base ./Base.jl:307 |  [2] top-level scope |    @ ~/Documentos/otmization/rodar_um_madnlp.jl:271 |  [3] include(mod::Module, _path::String) |    @ Base ./Base.jl:306 |  [4] exec_options(opts::Base.JLOptions) |    @ Base ./client.jl:317 |  [5] _start() |    @ Base ./client.jl:550 | in expression starting at /home/rezendegdm/Documentos/otmization/jump/robot_a_jump.jl:409","","","","","","","","","","","","logs_madnlp_simples/robot_a_jump_madnlp.log"
"jump/robot_c_jump.jl","robot_c_jump","MadNLP","OK","LOCALLY_INFEASIBLE","INFEASIBLE_POINT","INFEASIBLE_POINT","Converged to a point of local infeasibility. Problem may be infeasible.","-7.790180312599858e-5","10.028060913085938","16.06576180458069","400","2100","2100","3000","1.0e-7","300.0","false","","","324","-7.7901803125998578e-05","3.7701085785230809e-03","4.1684866740471840e+00","","1.2784736206333006e-08","4.1684866740471840e+00","","4939","3600","logs_madnlp_simples/robot_c_jump_madnlp.log"
"jump/rocket_12800_jump.jl","rocket_12800_jump","MadNLP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","1.0126750064408754","15.11739206314087","22.12804102897644","51206","38405","115213","3000","1.0e-7","300.0","false","","","33","-1.0126750064408754e+00","2.4710919833796641e-11","2.2204460492503131e-16","","9.0909090947415807e-09","9.0909090947415807e-09","","243206","448000","logs_madnlp_simples/rocket_12800_jump_madnlp.log"
"jump/steering_12800_jump.jl","steering_12800_jump","MadNLP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","0.5545708800079915","18.472644090652466","25.143537998199463","64007","51208","76812","3000","1.0e-7","300.0","false","","","18","5.5457088000799148e-01","1.1092238612212327e-08","1.4948057548702653e-11","","9.0912787957284489e-09","1.1092238612212327e-08","","256009","256000","logs_madnlp_simples/steering_12800_jump_madnlp.log"
"jump/svanberg_jump.jl","svanberg_jump","MadNLP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","83623.82224777537","24.409841060638428","31.257408142089844","50000","50000","150000","3000","1.0e-7","300.0","false","","","33","8.3623822247775373e+04","8.1565731946398046e-10","6.0328787120002975e-09","","9.3980650599491109e-09","9.3980650599491109e-09","","450000","500000","logs_madnlp_simples/svanberg_jump_madnlp.log"
"jump/ex1_320_jump.jl","ex1_320_jump","MadNLP","OK","OPTIMIZE_NOT_CALLED","NO_SOLUTION","NO_SOLUTION","optimize not called","NaN","0.9556460380554199","0.9556460380554199","203522","101761","508805","3000","1.0e-7","300.0","false","","","","","","","","","","","","","logs_madnlp_simples/ex1_320_jump_madnlp.log"
"jump/ex1_160_jump.jl","ex1_160_jump","MadNLP","OK","OPTIMIZE_NOT_CALLED","NO_SOLUTION","NO_SOLUTION","optimize not called","NaN","1.175631046295166","1.175631046295166","50562","25281","126405","3000","1.0e-7","300.0","false","","","","","","","","","","","","","logs_madnlp_simples/ex1_160_jump_madnlp.log"
"jump/ex4_2_160_jump.jl","ex4_2_160_jump","MadNLP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","3.6462479039438715","19.989925146102905","25.743044137954712","51202","25917","128321","3000","1.0e-7","300.0","false","","","31","3.6462479039438715e+00","2.8628006382039180e-10","1.3125611708630913e-13","","9.0909091872238076e-09","9.0909091872238076e-09","","152958","0","logs_madnlp_simples/ex4_2_160_jump_madnlp.log"
"jump/ex4_2_320_jump.jl","ex4_2_320_jump","MadNLP","OK","OPTIMIZE_NOT_CALLED","NO_SOLUTION","NO_SOLUTION","optimize not called","NaN","546.007336139679","546.007336139679","204802","103037","512641","3000","1.0e-7","300.0","false","","","","","","","","","","","613118","0","logs_madnlp_simples/ex4_2_320_jump_madnlp.log"
"jump/ex4_2_320_jump.jl","ex4_2_320_jump","MadNLP","OK","OPTIMIZE_NOT_CALLED","NO_SOLUTION","NO_SOLUTION","optimize not called","NaN","1045.6709468364716","1045.6709468364716","204802","103037","512641","3000","1.0e-7","300.0","false","","","","","","","","","","","613118","0","logs_madnlp_simples/ex4_2_320_jump_madnlp.log"
"jump/ex8_2_2_jump.jl","ex8_2_2_jump","MadNLP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-552.6662346680716","9.845149040222168","16.216698169708252","7511","1947","16967","3000","1.0e-7","300.0","false","","","67","-5.5266623466807164e+02","9.1945077444050215e-09","5.3430593283110284e-12","","1.1273988192398774e-08","1.1273988192398774e-08","","15144","22506","logs_madnlp_simples/ex8_2_2_jump_madnlp.log"
"jump/ex8_2_3_jump.jl","ex8_2_3_jump","MadNLP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-3731.0792491647476","10.736499786376953","16.96452784538269","15637","3155","34427","3000","1.0e-7","300.0","false","","","61","-3.7310792491647476e+03","1.0233366795494686e-08","2.5677741183338654e-11","","1.1927715720209668e-08","1.1927715720209668e-08","","31310","46881","logs_madnlp_simples/ex8_2_3_jump_madnlp.log"
