"arquivo","modelo","status","status_primal","status_dual","raw_status","objetivo","tempo_jump_s","tempo_total_s","variaveis","restricoes_sem_bounds","restricoes_com_bounds","madnlp_iterations","madnlp_objective_final_log","madnlp_dual_infeasibility","madnlp_constraint_violation","madnlp_variable_bound_violation","madnlp_complementarity","madnlp_overall_nlp_error","madnlp_total_seconds","madnlp_jacobian_nnz","madnlp_hessian_nnz","erro_solver","log_madnlp"
"jump_2/abel_jump.jl","abel_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","225.1945831858502","4.966648101806641","9.463698863983154","30","14","16","1","2.2519458318585021e+02","6.0218496855668491e-13","5.6843418860808015e-14","","0.0000000000000000e+00","6.0218496855668491e-13","","70","30","","logs_madnlp_simples_2/abel_jump_madnlp_2.log"
"jump_2/alkyl_jump.jl","alkyl_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-1.7650001355436729","9.213907957077026","15.91599988937378","14","7","35","12","-1.7650001355436729e+00","5.3808162064102904e-10","9.1752383468701737e-11","","9.3646402651437084e-09","9.3646402651437084e-09","","26","20","","logs_madnlp_simples_2/alkyl_jump_madnlp_2.log"
"jump_2/camshape100_jump.jl","camshape100_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-4.284198894492761","4.528882026672363","9.134691953659058","200","201","597","31","-4.2841988944927607e+00","1.2644802566130764e-10","7.9718662227001857e-12","","9.1848340589764516e-09","9.1848340589764516e-09","","996","297","","logs_madnlp_simples_2/camshape100_jump_madnlp_2.log"
"jump_2/camshape200_jump.jl","camshape200_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-4.278703900527611","4.566501140594482","9.373709917068481","400","401","1197","44","-4.2787039005276108e+00","3.3744028127280501e-09","1.6522549794268857e-11","","1.3272617277292603e-08","1.3272617277292603e-08","","1996","597","","logs_madnlp_simples_2/camshape200_jump_madnlp_2.log"
"jump_2/catmix100_jump.jl","catmix100_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-0.04806901803790493","4.970975875854492","9.839704036712646","304","201","405","12","-4.8069018037904927e-02","7.5280008560163481e-08","3.5347416879345089e-09","","9.2811557264590069e-09","7.5280008560163481e-08","","2003","800","","logs_madnlp_simples_2/catmix100_jump_madnlp_2.log"
"jump_2/catmix200_jump.jl","catmix200_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-0.0480583887039274","4.983680009841919","9.803177118301392","604","401","805","13","-4.8058388703927403e-02","6.1782965410372981e-09","3.0316817920027564e-10","","9.0988385347126980e-09","9.0988385347126980e-09","","4003","1600","","logs_madnlp_simples_2/catmix200_jump_madnlp_2.log"
"jump_2/chain100_jump.jl","chain100_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","5.069784610738305","9.78511095046997","16.555279970169067","203","102","104","7","5.0697846107383047e+00","6.8554883991822635e-13","2.7382540679354861e-12","","0.0000000000000000e+00","2.7382540679354861e-12","","704","404","","logs_madnlp_simples_2/chain100_jump_madnlp_2.log"
"jump_2/chain200_jump.jl","chain200_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","5.068917341692632","9.68861198425293","16.44047999382019","403","202","204","7","5.0689173416926323e+00","5.7462779326500346e-11","5.1828852321023078e-10","","0.0000000000000000e+00","5.1828852321023078e-10","","1404","804","","logs_madnlp_simples_2/chain200_jump_madnlp_2.log"
"jump_2/chain400_jump.jl","chain400_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","5.068621693115588","9.730637073516846","16.5091450214386","803","402","404","7","5.0686216931155883e+00","3.7643294384381853e-10","7.0947354657846518e-09","","0.0000000000000000e+00","7.0947354657846518e-09","","2804","1604","","logs_madnlp_simples_2/chain400_jump_madnlp_2.log"
"jump_2/chain50_jump.jl","chain50_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","5.0722614849232865","9.698217153549194","16.465154886245728","103","52","54","6","5.0722614849232865e+00","6.0314099686875622e-09","5.7002621289825584e-08","","0.0000000000000000e+00","5.7002621289825584e-08","","354","204","","logs_madnlp_simples_2/chain50_jump_madnlp_2.log"
