"arquivo","modelo","solver","preset","status_execucao","status","status_primal","status_dual","raw_status","objetivo","tempo_jump_s","variaveis","restricoes_sem_bounds","restricoes_com_bounds","max_iter","tol","erro_include","erro_solver","log"
"jump_2/ex14_1_9_jump.jl","ex14_1_9_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","0.0","2.145958","3","3","5","3000","1.0e-7","","","logs_uno_simples_2/ex14_1_9_jump_uno_2.log"
"jump_2/gtm_jump.jl","gtm_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","543.5650947901623","1.965814","64","25","124","3000","1.0e-7","","","logs_uno_simples_2/gtm_jump_uno_2.log"
"jump_2/harker_jump.jl","harker_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-986.5134839918815","2.071296","21","8","28","3000","1.0e-7","","","logs_uno_simples_2/harker_jump_uno_2.log"
"jump_2/hhfair_jump.jl","hhfair_jump","UnoSolver","filtersqp","OK","ITERATION_LIMIT","INFEASIBLE_POINT","UNKNOWN_RESULT_STATUS","1","-70.47509592633617","2.348619","30","26","40","3000","1.0e-7","","","logs_uno_simples_2/hhfair_jump_uno_2.log"
"jump_2/haverly]_jump.jl","haverly]_jump","UnoSolver","filtersqp","ERRO_INCLUDE","","","","","NaN","NaN","","","","3000","1.0e-7","SystemError: opening file ""/home/rezendegdm/Documentos/otmization/jump_2/haverly]_jump.jl"": Arquivo ou diretório inexistente | Stacktrace: |  [1] include(mapexpr::Function, mod::Module, _path::String) |    @ Base ./Base.jl:307 |  [2] top-level scope |    @ ~/Documentos/otmization/rodar_um_uno_2.jl:79 |  [3] include(mod::Module, _path::String) |    @ Base ./Base.jl:306 |  [4] exec_options(opts::Base.JLOptions) |    @ Base ./client.jl:317 |  [5] _start() |    @ Base ./client.jl:550","","logs_uno_simples_2/haverly]_jump_uno_2.log"
"jump_2/haverly_jump.jl","haverly_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-400.0000000000002","0.279433","13","10","24","3000","1.0e-7","","","logs_uno_simples_2/haverly_jump_uno_2.log"
"jump_2/house_jump.jl","house_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-4500.0","0.271525","9","9","14","3000","1.0e-7","","","logs_uno_simples_2/house_jump_uno_2.log"
"jump_2/himmel_jump.jl","himmel_jump","UnoSolver","filtersqp","ERRO_INCLUDE","","","","","NaN","NaN","","","","3000","1.0e-7","SystemError: opening file ""/home/rezendegdm/Documentos/otmization/jump_2/himmel_jump.jl"": Arquivo ou diretório inexistente | Stacktrace: |  [1] include(mapexpr::Function, mod::Module, _path::String) |    @ Base ./Base.jl:307 |  [2] top-level scope |    @ ~/Documentos/otmization/rodar_um_uno_2.jl:79 |  [3] include(mod::Module, _path::String) |    @ Base ./Base.jl:306 |  [4] exec_options(opts::Base.JLOptions) |    @ Base ./client.jl:317 |  [5] _start() |    @ Base ./client.jl:550","","logs_uno_simples_2/himmel_jump_uno_2.log"
"jump_2/himmel16_jump.jl","himmel16_jump","UnoSolver","filtersqp","OK","ITERATION_LIMIT","FEASIBLE_POINT","UNKNOWN_RESULT_STATUS","1","-0.6714399100918768","0.422575","19","22","25","3000","1.0e-7","","","logs_uno_simples_2/himmel16_jump_uno_2.log"
"jump_2/immum_jump.jl","immum_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","0.0","0.305745","22","8","29","3000","1.0e-7","","","logs_uno_simples_2/immum_jump_uno_2.log"
